
0:	learn: 54.2681490	test: 49.7051477	best: 49.7051477 (0)	total: 53.5ms	remaining: 17m 50s
1:	learn: 53.8750510	test: 49.5307860	best: 49.5307860 (1)	total: 60.3ms	remaining: 10m 2s
2:	learn: 53.4810365	test: 49.4642788	best: 49.4642788 (2)	total: 64.2ms	remaining: 7m 7s
3:	learn: 53.0994936	test: 49.4423401	best: 49.4423401 (3)	total: 69.4ms	remaining: 5m 46s
4:	learn: 52.7204875	test: 49.3464718	best: 49.3464718 (4)	total: 72.8ms	remaining: 4m 51s
5:	learn: 52.3426057	test: 49.2803711	best: 49.2803711 (5)	total: 76.9ms	remaining: 4m 16s
6:	learn: 51.9813424	test: 49.2216314	best: 49.2216314 (6)	total: 81.1ms	remaining: 3m 51s
7:	learn: 51.6179680	test: 49.1521980	best: 49.1521980 (7)	total: 84.9ms	remaining: 3m 32s
8:	learn: 51.2645499	test: 49.0690767	best: 49.0690767 (8)	total: 88.3ms	remaining: 3m 16s
9:	learn: 50.9162051	test: 48.9054660	best: 48.9054660 (9)	total: 91.6ms	remaining: 3m 3s
10:	learn: 50.5708073	test: 48.8299792	best: 48.8299792 (10)	total: 95.6ms	remaining: 2m 53s
11:	learn: 50.2171803	test: 48.7033527	best: 48.7033527 (11)	total: 98.5ms	remaining: 2m 43s
12:	learn: 49.8880176	test: 48.6295318	best: 48.6295318 (12)	total: 101ms	remaining: 2m 35s
13:	learn: 49.5479094	test: 48.6353143	best: 48.6295318 (12)	total: 103ms	remaining: 2m 26s
14:	learn: 49.2146333	test: 48.5105974	best: 48.5105974 (14)	total: 106ms	remaining: 2m 20s
15:	learn: 48.8811340	test: 48.4616471	best: 48.4616471 (15)	total: 108ms	remaining: 2m 14s
16:	learn: 48.5630315	test: 48.3717755	best: 48.3717755 (16)	total: 111ms	remaining: 2m 10s
17:	learn: 48.2431177	test: 48.2586160	best: 48.2586160 (17)	total: 113ms	remaining: 2m 5s
18:	learn: 47.9258752	test: 48.2488381	best: 48.2488381 (18)	total: 116ms	remaining: 2m 1s
19:	learn: 47.6186385	test: 48.2354533	best: 48.2354533 (19)	total: 119ms	remaining: 1m 58s
20:	learn: 47.3095454	test: 48.1655534	best: 48.1655534 (20)	total: 122ms	remaining: 1m 56s
21:	learn: 46.9999085	test: 48.1191189	best: 48.1191189 (21)	total: 124ms	remaining: 1m 52s
22:	learn: 46.6988113	test: 48.1087835	best: 48.1087835 (22)	total: 126ms	remaining: 1m 49s
23:	learn: 46.3998082	test: 48.0916227	best: 48.0916227 (23)	total: 129ms	remaining: 1m 47s
24:	learn: 46.1064904	test: 48.0302628	best: 48.0302628 (24)	total: 131ms	remaining: 1m 44s
25:	learn: 45.8230797	test: 47.9900042	best: 47.9900042 (25)	total: 134ms	remaining: 1m 42s
26:	learn: 45.5456752	test: 47.8993715	best: 47.8993715 (26)	total: 135ms	remaining: 1m 40s
27:	learn: 45.2565813	test: 47.8395030	best: 47.8395030 (27)	total: 137ms	remaining: 1m 37s
28:	learn: 44.9839388	test: 47.8458942	best: 47.8395030 (27)	total: 139ms	remaining: 1m 35s
29:	learn: 44.7130712	test: 47.8086718	best: 47.8086718 (29)	total: 141ms	remaining: 1m 34s
30:	learn: 44.4462191	test: 47.7862861	best: 47.7862861 (30)	total: 143ms	remaining: 1m 32s
31:	learn: 44.1783730	test: 47.7558869	best: 47.7558869 (31)	total: 146ms	remaining: 1m 31s
32:	learn: 43.9158495	test: 47.7279873	best: 47.7279873 (32)	total: 148ms	remaining: 1m 29s
33:	learn: 43.6501935	test: 47.6814437	best: 47.6814437 (33)	total: 150ms	remaining: 1m 27s
34:	learn: 43.3936299	test: 47.6442864	best: 47.6442864 (34)	total: 152ms	remaining: 1m 26s
35:	learn: 43.1325049	test: 47.6518372	best: 47.6442864 (34)	total: 154ms	remaining: 1m 25s
36:	learn: 42.8819135	test: 47.5888360	best: 47.5888360 (36)	total: 156ms	remaining: 1m 24s
37:	learn: 42.6443957	test: 47.5780919	best: 47.5780919 (37)	total: 158ms	remaining: 1m 23s
38:	learn: 42.4049922	test: 47.4443347	best: 47.4443347 (38)	total: 161ms	remaining: 1m 22s
39:	learn: 42.1693684	test: 47.4001163	best: 47.4001163 (39)	total: 164ms	remaining: 1m 21s
40:	learn: 41.9264198	test: 47.3477909	best: 47.3477909 (40)	total: 166ms	remaining: 1m 20s
41:	learn: 41.7012048	test: 47.2856375	best: 47.2856375 (41)	total: 168ms	remaining: 1m 19s
42:	learn: 41.4742688	test: 47.2020514	best: 47.2020514 (42)	total: 170ms	remaining: 1m 18s
43:	learn: 41.2459336	test: 47.2043748	best: 47.2020514 (42)	total: 172ms	remaining: 1m 17s
44:	learn: 41.0215348	test: 47.0543517	best: 47.0543517 (44)	total: 174ms	remaining: 1m 17s
45:	learn: 40.7982659	test: 46.9238822	best: 46.9238822 (45)	total: 176ms	remaining: 1m 16s
46:	learn: 40.5850025	test: 46.8313368	best: 46.8313368 (46)	total: 179ms	remaining: 1m 15s
47:	learn: 40.3705860	test: 46.8446562	best: 46.8313368 (46)	total: 181ms	remaining: 1m 15s
48:	learn: 40.1478581	test: 46.7963856	best: 46.7963856 (48)	total: 183ms	remaining: 1m 14s
49:	learn: 39.9343934	test: 46.7928487	best: 46.7928487 (49)	total: 184ms	remaining: 1m 13s
50:	learn: 39.7236185	test: 46.7508156	best: 46.7508156 (50)	total: 186ms	remaining: 1m 12s
51:	learn: 39.5167217	test: 46.6571157	best: 46.6571157 (51)	total: 188ms	remaining: 1m 12s
52:	learn: 39.3105743	test: 46.6410503	best: 46.6410503 (52)	total: 190ms	remaining: 1m 11s
53:	learn: 39.1008778	test: 46.6060087	best: 46.6060087 (53)	total: 192ms	remaining: 1m 11s
54:	learn: 38.9032944	test: 46.5918119	best: 46.5918119 (54)	total: 195ms	remaining: 1m 10s
55:	learn: 38.7035545	test: 46.5622604	best: 46.5622604 (55)	total: 197ms	remaining: 1m 10s
56:	learn: 38.5053240	test: 46.5417108	best: 46.5417108 (56)	total: 199ms	remaining: 1m 9s
57:	learn: 38.3236934	test: 46.5206807	best: 46.5206807 (57)	total: 201ms	remaining: 1m 9s
58:	learn: 38.1365570	test: 46.4328690	best: 46.4328690 (58)	total: 203ms	remaining: 1m 8s
